0,1,2,3,4,5,6,7,8,9
974,0,4,1,0,3,13,2,2,2
0,1123,0,0,2,1,1,4,0,0
0,5,1014,0,1,0,4,8,4,0
1,4,4,1004,0,28,0,8,7,4
0,0,2,0,959,2,7,1,0,8
0,0,0,1,0,838,4,0,2,0
2,1,1,0,3,4,924,0,0,0
1,0,1,1,0,0,0,976,1,3
2,2,6,3,4,14,4,4,953,5
0,0,0,0,13,2,1,25,5,987
966,0,2,0,1,1,3,0,2,0
0,1119,3,0,0,0,1,1,0,3
0,2,1018,4,1,0,0,9,3,0
2,2,0,976,0,9,1,0,2,5
1,1,1,0,960,0,5,1,0,11
1,2,0,14,0,868,5,0,3,5
4,2,0,0,4,2,938,0,1,0
1,0,4,2,2,2,0,1011,2,9
5,7,3,11,2,9,5,1,957,6
0,0,1,3,12,1,0,5,4,970
974,0,2,1,3,2,9,1,4,4
0,1122,0,0,2,0,2,6,0,2
2,2,1010,8,1,2,1,14,4,1
0,4,10,978,0,16,0,1,8,9
0,1,0,0,947,1,4,9,1,8
0,0,1,16,0,861,5,3,8,5
0,2,0,0,3,1,933,0,1,1
2,0,5,2,9,4,0,979,1,7
1,4,3,3,3,4,4,1,943,7
1,0,1,2,14,1,0,14,4,965
967,0,3,3,0,2,7,0,4,0
0,1122,4,0,0,0,2,4,0,1
2,3,988,4,2,0,1,6,5,0
0,2,13,970,0,14,0,2,14,12
1,2,3,1,959,3,3,7,4,9
1,0,0,8,0,861,3,1,6,6
3,4,0,0,2,3,926,0,0,0
1,0,8,7,3,2,0,989,2,10
4,2,12,13,2,6,16,3,931,11
1,0,1,4,14,1,0,16,8,960
965,3,3,0,1,0,7,1,14,0
0,1122,1,1,0,0,3,1,1,5
1,1,979,15,1,4,0,15,9,3
1,5,18,980,1,28,0,20,4,8
2,1,6,0,961,0,10,3,9,11
0,0,0,2,1,842,3,1,3,4
3,0,1,0,1,5,930,0,5,1
4,0,9,4,1,3,0,980,4,8
3,3,13,4,2,6,5,1,913,7
1,0,2,4,13,4,0,6,12,962
974,0,4,0,2,5,4,0,2,7
0,1126,4,1,0,0,4,4,1,2
0,2,1011,3,0,0,1,12,3,1
0,0,2,984,0,10,0,1,4,3
0,1,2,0,967,1,5,1,0,10
1,0,0,6,0,863,1,0,3,2
2,2,1,0,2,5,940,0,4,0
2,2,7,5,0,0,0,999,3,5
0,1,1,4,1,4,3,2,947,2
1,1,0,7,10,4,0,9,7,977
973,1,0,0,0,2,4,1,5,2
0,1124,0,0,1,0,2,3,0,3
1,2,1022,2,5,0,1,18,4,1
0,1,2,987,0,6,1,2,3,3
0,1,2,1,969,1,5,0,2,10
0,0,0,13,0,879,1,0,5,6
2,2,1,0,2,2,938,0,2,2
1,0,3,1,0,0,0,992,0,2
3,4,2,2,2,2,6,3,951,3
0,0,0,4,3,0,0,9,2,977
971,0,2,1,0,3,4,1,5,2
0,1130,0,0,0,0,2,3,1,6
1,1,1017,3,1,0,0,4,3,0
0,1,2,992,0,8,0,3,3,5
0,0,0,0,965,0,0,0,3,7
0,0,0,5,0,870,2,0,1,2
4,2,2,0,7,6,945,0,5,1
3,1,6,4,1,2,0,1015,4,8
0,0,3,2,0,2,4,1,948,0
1,0,0,3,8,1,1,1,1,978
949,1,7,4,4,5,17,5,3,4
1,1118,1,0,0,5,4,3,3,3
3,4,963,12,6,5,2,37,12,0
3,1,12,950,2,14,1,4,5,2
3,0,4,0,920,3,6,2,10,30
4,1,3,18,2,824,7,3,11,19
8,4,10,0,17,6,916,2,4,0
6,1,15,9,1,4,0,960,5,6
2,5,13,3,10,21,4,4,908,10
1,0,4,14,20,5,1,8,13,935
947,0,8,0,1,7,9,4,2,5
2,1125,7,1,0,4,4,5,5,3
0,2,953,9,1,0,1,20,3,0
0,3,8,950,1,13,0,5,3,1
4,0,7,0,927,2,13,3,8,10
4,1,1,21,1,829,7,2,5,11
15,3,8,0,14,6,912,1,3,1
2,0,12,10,0,2,0,963,3,9
1,1,26,7,8,22,10,8,930,10
5,0,2,12,29,7,2,17,12,959
