0,1,2,3,4,5,6,7,8,9
966,0,4,0,4,2,5,1,3,3
0,1119,0,0,0,0,2,7,0,5
2,6,1015,6,1,1,0,9,5,1
0,1,0,966,0,11,0,0,6,8
1,0,0,0,953,0,6,3,2,9
0,2,0,19,0,862,5,0,4,7
3,3,0,0,4,7,934,0,1,1
2,1,6,8,3,0,0,996,4,11
6,3,6,11,4,8,6,5,946,7
0,0,1,0,13,1,0,7,3,957
969,0,6,0,3,3,5,1,5,8
0,1121,7,0,2,0,2,3,1,6
1,3,1004,10,2,1,1,14,10,1
0,4,4,982,1,20,0,6,19,7
0,0,1,0,955,0,3,4,5,10
2,1,0,9,1,856,7,2,7,5
3,3,0,1,8,7,939,0,7,1
3,1,8,5,1,1,0,993,7,24
2,2,2,3,1,4,1,2,909,2
0,0,0,0,8,0,0,3,4,945
972,0,8,0,3,3,3,1,7,5
0,1118,2,0,0,0,2,5,0,4
2,5,1007,10,3,1,0,12,8,0
1,1,4,963,0,9,0,3,8,4
0,0,4,0,954,1,4,4,3,17
2,2,0,15,0,860,5,0,5,1
2,5,0,1,4,7,942,0,6,0
0,0,3,3,3,1,0,988,3,8
1,4,3,10,3,4,2,3,913,3
0,0,1,8,12,6,0,12,21,967
969,0,5,1,1,5,5,1,4,6
0,1117,3,0,2,0,2,5,0,2
1,1,1002,3,2,1,1,7,6,0
0,6,3,966,0,16,0,4,6,4
0,0,0,0,949,0,3,8,2,10
1,2,0,6,0,828,4,0,2,1
2,5,0,1,7,10,938,0,3,1
2,0,9,4,1,2,0,983,3,5
5,3,10,25,1,20,5,3,945,2
0,1,0,4,19,10,0,17,3,978
956,0,7,0,3,6,6,1,6,8
0,1117,1,4,3,3,7,12,5,7
1,5,959,14,2,3,3,18,16,1
2,5,18,913,0,49,1,2,39,11
1,0,3,0,893,3,5,8,9,14
2,0,2,32,2,787,14,1,20,5
8,4,7,2,17,14,918,0,6,0
2,0,15,17,4,3,0,919,4,13
7,4,18,19,4,15,4,7,834,8
1,0,2,9,54,9,0,60,35,942
955,0,11,0,4,6,6,1,5,8
0,1120,3,3,4,5,7,7,6,6
1,2,942,11,1,2,2,22,8,0
2,4,8,889,0,34,0,3,27,9
1,0,10,2,922,5,7,13,13,30
1,0,5,47,1,795,14,1,19,8
9,4,13,4,12,13,918,0,5,0
5,0,15,10,4,3,0,930,6,21
6,5,23,38,3,22,4,7,869,15
0,0,2,6,31,7,0,44,16,912
961,0,8,0,5,3,7,1,4,7
0,1119,2,0,2,0,4,7,1,6
2,4,979,3,0,1,0,13,4,0
0,4,8,954,0,17,0,7,19,11
0,0,2,1,930,0,3,9,4,8
1,0,0,14,0,838,7,0,8,2
4,3,0,0,9,10,930,0,2,0
3,0,9,5,2,0,0,950,1,7
9,5,23,27,7,18,7,6,918,8
0,0,1,6,27,5,0,35,13,960
964,0,6,1,5,3,6,1,6,7
0,1120,6,0,3,0,5,6,0,6
2,2,978,11,0,2,0,13,4,2
0,3,10,950,0,21,0,7,20,7
1,0,3,0,942,0,3,8,6,10
1,0,1,21,1,843,7,2,5,6
3,5,2,1,9,10,933,0,3,1
3,0,12,9,1,3,0,972,8,15
6,4,13,12,3,7,4,6,913,4
0,1,1,5,18,3,0,13,9,951
966,0,6,1,2,2,4,1,6,7
0,1117,1,0,0,0,2,4,0,4
0,2,1005,2,0,1,0,4,3,1
0,4,2,981,0,13,0,2,14,4
0,0,1,0,943,0,2,4,2,5
1,2,0,10,0,857,1,0,5,3
4,3,0,1,11,10,946,0,11,2
3,2,12,4,2,1,0,998,3,8
6,5,5,5,3,6,3,4,917,6
0,0,0,6,21,2,0,11,13,969
968,0,5,0,5,4,6,2,4,7
0,1122,5,0,0,0,3,6,0,5
1,2,1003,8,1,1,0,11,5,2
0,2,2,972,0,21,0,2,10,9
0,0,3,0,956,0,3,4,2,17
3,1,0,8,0,848,3,1,2,3
1,4,1,2,8,9,940,0,7,1
2,1,9,7,2,1,0,991,4,14
5,3,4,13,1,7,3,4,939,13
0,0,0,0,9,1,0,7,1,938
