1F,1T,2F,2T,3F,3T,4F,4T
1583,7,1023,16,813,33,373,226
9,1,6,1,3,1,0,1
1086,3,1404,23,1115,45,252,110
15,0,27,2,16,0,2,3
853,6,1163,25,1377,82,366,126
27,0,40,2,60,1,21,13
385,2,206,8,336,18,1528,356
213,0,88,4,84,5,302,455
208,1,121,1,80,0,25,12
0,0,0,0,2,0,0,0
129,0,137,5,105,2,42,15
2,0,1,0,0,0,0,1
71,0,85,1,128,4,96,38
2,0,2,0,2,0,4,1
23,1,40,0,86,5,118,50
10,0,20,0,31,2,59,21
216,0,107,3,88,1,23,10
0,0,0,0,2,0,0,0
140,4,129,5,91,1,43,22
1,0,3,0,0,0,0,0
64,0,84,0,127,3,96,49
3,0,1,0,1,0,5,1
26,0,51,0,84,4,106,52
7,1,17,0,41,2,49,26
133,1,81,1,44,0,14,6
0,0,0,0,1,0,0,0
76,0,95,0,63,0,30,10
0,0,1,0,0,0,0,0
44,0,77,0,73,0,59,19
3,0,2,0,2,0,4,2
20,0,39,0,59,1,76,37
6,0,10,0,13,2,23,23
1152,10,1027,14,965,29,665,261
7,0,4,0,7,0,4,4
1042,14,984,17,983,42,641,270
16,0,23,4,21,0,18,2
911,5,948,17,981,25,657,289
39,0,47,1,32,3,32,13
635,9,690,21,698,23,587,272
249,1,274,2,296,16,203,159
119,0,89,0,65,3,44,18
0,0,1,0,1,0,0,0
86,0,109,2,45,2,64,25
0,0,3,0,2,0,1,0
82,0,71,0,83,3,78,42
4,0,2,0,5,1,3,1
50,0,46,0,61,2,71,34
25,0,17,0,30,3,28,11
116,0,91,0,65,2,48,16
1,0,0,0,1,0,0,0
84,1,89,0,77,1,53,28
1,0,2,0,2,0,0,1
71,0,96,2,89,1,70,30
3,0,4,0,2,0,2,5
50,0,55,0,71,3,57,28
30,1,14,0,24,1,26,18
98,0,82,1,42,3,32,15
0,0,0,0,1,0,0,0
83,1,79,2,80,3,51,17
0,0,2,0,1,0,1,0
51,0,69,2,66,0,40,20
1,0,5,0,1,0,3,0
23,0,39,4,49,7,59,19
5,0,15,0,18,1,27,17
1136,8,1008,24,985,39,624,264
11,0,6,0,7,0,2,0
1005,6,1017,17,983,34,690,282
22,0,11,0,21,0,16,11
897,12,986,24,989,36,666,285
34,0,43,1,47,2,35,17
656,5,631,17,669,18,584,262
267,3,241,7,274,15,261,147
